bed.block.order,bed.order,AB.CD.order,column.order,status,block,bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID,Notes
272,383,6,2,available,D,D,10,C,BH x WL2,1-3_8-10,3-Jan,10-Aug,4,2412,
464,384,6,2,buffer,,D,10,D,buffer,,,,,buffer,
273,385,6,2,available,D,D,11,C,BH,1,1,,15,1614,
465,386,6,2,buffer,,D,11,D,buffer,,,,,buffer,
276,389,6,2,available,D,D,12,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,19,2257,
275,388,6,2,available,D,D,12,D,(WV) x (WV x WL2),3_22,3,22,1,2578,
274,387,6,2,2024-survivor,D,D,13,C,WL2,,,,49,144,
277,390,6,2,available,D,D,13,D,(WV x WL2) x (WV),20_7-3,20,3-Jul,4,2576,
278,391,6,2,available,D,D,14,C,DPR x WL2,,,,3,1976,moved here due to 144 survival
279,392,6,2,buffer,D,D,14,D,buffer,,,,,buffer,
306,393,6,2,available,E,D,15,C,(WV) x (WV x WL2),3_22,3,22,2,2376,
307,394,6,2,available,E,D,15,D,LV1,11,11,,5,1667,
308,395,6,2,available,E,D,16,C,(WV x WL2) x (WL2 x BH),2_2,2,2,1,2343,
309,396,6,2,available,E,D,16,D,(WL2 x BH) x (WL2 x TM2),2_3,2,3,4,2539,
310,397,6,2,available,E,D,17,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,46,2644,
311,398,6,2,available,E,D,17,D,TM2,,,,87,1791,
312,399,6,2,available,E,D,18,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,2,2510,
313,400,6,2,available,E,D,18,D,YO11 x WL2,,,,1,2054,
314,401,6,2,available,E,D,19,C,TM2,8,8,,63,1767,
315,402,6,2,available,E,D,19,D,DPR,11,11,,3,1644,
,,,,buffer,,D,20,C,buffer,,,,,buffer,
317,404,6,2,available,E,D,20,D,SQ3,7,7,,16,2399,
,,,,buffer,,D,21,C,buffer,,,,,buffer,
318,406,6,2,available,E,D,21,D,DPR x WL2,,,,4,1977,
,,,,2024-survivor,,D,22,C,YO11,,,,11,53,check row positions from this plant down
319,407,6,2,buffer,E,D,22,D,buffer,,,,,buffer,
,,,,buffer,E,D,23,C,buffer,,,,,buffer,
467,408,6,2,2024-survivor,,D,23,D,(SQ3 x WL2) x (DPR x WL2),,,,13,815,
320,409,6,2,available,E,D,24,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,27,2265,
321,410,6,2,available,E,D,24,D,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,6,2461,
322,411,6,2,available,E,D,25,C,WL2 x YO11,2-A_11-2,2-A,2-Nov,1,2047,
323,412,6,2,available,E,D,25,D,DPR,20,20,,18,2623,
324,413,6,2,available,E,D,26,C,TM2,6,6,,49,1753,
325,414,6,2,available,E,D,26,D,BH,3,3,,1,1600,
326,415,6,2,available,E,D,27,C,WL2,2,2,,14,1837,
327,416,6,2,available,E,D,27,D,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,45,2283,
328,417,6,2,available,E,D,28,C,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,13,2501,
329,418,6,2,available,E,D,28,D,(TM2 x WL2) x (TM2),3_1-3,3,3-Jan,1,2129,
330,419,6,2,available,E,D,29,C,BH x WL2,1-3_8-1,3-Jan,1-Aug,8,1971,
331,420,6,2,available,E,D,29,D,CC,1,1,,1,2617,
332,421,6,2,available,E,D,30,C,WL2,2,2,,11,1834,added at randomization
333,422,6,2,available,E,D,30,D,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,6,2451,moved due to rock
