bed,row,col,unique.ID,phen,diam.mm,num.flw,num.fruit or date.collected,long.fruit.cm,total.branch,overhd.diam,overhd.perp,survey.date,survey.notes,
F,39,A,2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEED TO REMOVE THIS PLANT FROM THE DATA SET!,
F,39,B,1053,P,6.43,0,6/14/24,5.5,1,41,42,6/14/24,,
F,40,A,630,P,20.42,0,5/30/24,7.8,1,94,66.3,3/23/24,,
F,40,B,541,,,,,,,,,,,
F,41,A,1334,,,,,,,,,,,
F,41,B,450,P,10.86,0,6/27/24,5.2,1,23.5,26,6/27/24,,
F,42,A,264,,,,,,,,,,,
F,42,B,2044,P,22.34,0,7/11/24,8.1,1,100.5,72.2,7/11/24,,
F,43,A,529,,,,,,,,,,,
F,43,B,173,,,,,,,,,,,
F,44,A,221,P,6.04,0,6/14/24,5.2,1,23.5,26,6/14/24,,
F,44,B,149,X,6.29,0,6/27/24,NA,1,20.3,19.7,6/27/24,,
F,45,A,197,P,20.99,0,6/27/24,9.4,2,68,69,6/27/24,,
F,45,B,362,X,7.01,0,,NA,1,13.9,5.7,7/11/24,,
F,46,A,buffer,,,,,,,,,,,
F,46,B,buffer,,,,,,,,,,,
F,1,C,buffer,,,,,,,,,,,
F,1,D,buffer,,,,,,,,,,,
F,2,C,764,P,14.16,0,5/30/24,8.5,1,87,86,5/23/24,,
F,2,D,5,P,17.64,0,5/30/24,9.3,1,71,45,5/23/24,,
F,3,C,443,P,18.02,0,6/14/24,9,1,100,67,6/14/24,,
F,3,D,1059,P,3.04,0,6/20/24,5,1,10,8,6/20/24,,
F,4,C,669,P,16.61,0,6/14/24,7.2,1,82,68,6/14/24,,
F,4,D,515,X,10.25,NA,7/11/24,NA,2,11,12,7/11/24,Dead 7/11/24,
F,5,C,707,P,17.36,0,6/20/24,9,4,82,50,6/20/24,,
F,5,D,31,,,,,,,,,,,
F,6,C,455,X,9.28,NA,7/11/24,NA,1,31,33,7/11/24,7/11/24 Dead,
F,6,D,93,,,,,,,,,,,
F,7,C,2025,,,,,,,,,,,
F,7,D,1215,P,11.89,0,6/14/24,8.1,2,83,67.7,6/14/24,,
F,8,C,375,,,,,,,,,,,
F,8,D,641,P,19.36,0,6/20/24,9.8,1,64,70,6/20/24,,
F,9,C,306,,,,,,,,,,,
