"","bed","row","col","Unique.ID","diam.mm","height.cm","overhd.diam","overhd.perp","canopy.area"
"248","D",4,"B","1704",NA,NA,NA,NA,NA
"249","D",5,"A","2483",4.72,5,3.8,2.7,8.05818515645782
"250","D",5,"B","2239",NA,NA,NA,NA,NA
"251","D",6,"A",NA,NA,NA,NA,NA,NA
"252","D",6,"B",NA,NA,NA,NA,NA,NA
"253","D",7,"A",NA,NA,NA,NA,NA,NA
"254","D",7,"B",NA,NA,NA,NA,NA,NA
"255","D",8,"A","2075",NA,NA,NA,NA,NA
"256","D",8,"B",NA,NA,NA,NA,NA,NA
"257","D",9,"A","2155",1.98,5.3,5,2.8,10.9955742875643
"258","D",9,"B","2320",2.3,8.1,6.9,5.4,29.2639355681889
"259","D",10,"A","2278",2.46,11.3,4.2,4.5,14.8440252882118
"260","D",10,"B","436",3.09,NA,NA,NA,NA
"261","D",11,"A","2362",NA,NA,NA,NA,NA
"262","D",11,"B","1822",2.64,6.7,7.3,5,28.6670329640069
"263","D",12,"A",NA,NA,NA,NA,NA,NA
"264","D",12,"B","304",3.11,13.4,5,1.7,6.67588438887831
"265","D",13,"A","2470",NA,NA,NA,NA,NA
"266","D",13,"B","2209",2.71,4.5,2.7,2.4,5.08938009881546
"267","D",14,"A","2417",2.1,6,5.5,5.3,22.8943564630356
"268","D",14,"B","2205",2.32,4.5,2.2,1.6,2.76460153515902
"269","D",15,"A","1790",NA,NA,NA,NA,NA
"270","D",15,"B","1107",2.84,19.5,7.2,4.8,27.1433605270158
"271","D",16,"A","1995",2.49,6.6,5.8,4.2,19.1322992603618
"272","D",16,"B","1961",2.82,3.7,4.7,4.4,16.2420340190592
"273","D",17,"A","2240",2.67,7,5.5,4,17.2787595947439
"274","D",17,"B","403",NA,NA,NA,NA,NA
"275","D",18,"A","2521",2.35,3.9,3.8,3.2,9.55044166691297
"276","D",18,"B","2610",1.63,5.2,3.3,2.5,6.47953484802895
"277","D",19,"A","2393",NA,NA,NA,NA,NA
"278","D",19,"B","141",1.22,NA,NA,NA,NA
"279","D",20,"A","2532",NA,9.5,8.6,4.4,29.7194665029594
"280","D",20,"B","buffer",NA,NA,NA,NA,NA
"281","D",21,"A","2363",NA,NA,NA,NA,NA
"282","D",21,"B","2609",NA,NA,NA,NA,NA
"283","D",22,"A","2206",1.65,6.7,3.9,3.2,9.80176907920016
"284","D",22,"B","2593",2.25,4.7,3.6,1.9,5.37212343763855
"285","D",23,"A","1894",2,3.6,3.7,3.6,10.461503536454
"286","D",23,"B","2413",NA,7,8.5,6.5,43.393248527709
"287","D",24,"A","2597",1.94,5.4,3.8,1.8,5.37212343763855
"288","D",24,"B","2440",1.67,7.6,5.6,4.1,18.0327418316054
"289","D",25,"A","2504",NA,NA,NA,NA,NA
"290","D",25,"B","2222",2.63,15.5,7.5,5.6,32.9867228626928
"291","D",26,"A","2577",2.04,4.5,3.4,2.8,7.47699051554371
"292","D",26,"B","1803",1.82,5.6,3.7,3.4,9.8803088955399
"293","D",27,"A","1939",NA,NA,NA,NA,NA
"294","D",27,"B","2444",NA,NA,NA,NA,NA
"295","D",28,"A","1864",2.79,4.6,4.5,4.2,14.8440252882118
"296","D",28,"B","2403",1.92,5.9,4.6,3.5,12.6449104306989
"297","D",29,"A","2312",1.75,5.1,5.8,4.8,21.865484868985
"298","D",29,"B","1942",1.84,5,3,3,7.06858347057703
"299","D",30,"A","103",1.29,NA,NA,NA,NA
"300","D",30,"B","1760",2.52,29.3,10.8,4,33.9292006587698
"301","D",31,"A","1967",2.73,4.4,5.2,4.5,18.3783170235003
"302","D",31,"B","2569",2.34,7.3,6.3,5.3,26.2244446758408
"303","D",32,"A","1968",2.76,8.4,6.5,8,40.8407044966673
"304","D",32,"B","2633",1.76,10.3,5.1,5.5,22.0304184832984
"305","D",33,"A","1280",1.54,NA,NA,NA,NA
"306","D",33,"B","246",3.76,NA,NA,NA,NA
"307","D",34,"A","2406",NA,NA,NA,NA,NA
"308","D",34,"B","2224",2.43,8.6,8.5,5,33.3794219443916
"309","D",35,"A","buffer",NA,NA,NA,NA,NA
"310","D",35,"B","190",2.26,NA,NA,NA,NA
"311","D",36,"A","2130",NA,NA,NA,NA,NA
"312","D",36,"B","2507",2.26,10,7.5,7.6,44.7676953136545
"313","D",37,"A","1675",NA,NA,NA,NA,NA
"314","D",37,"B","2364",NA,NA,NA,NA,NA
"315","D",38,"A","1774",2.41,26.2,4.9,5.4,20.7816354034965
"316","D",38,"B","2418",2.32,5.9,7.8,6.3,38.5944657493506
"317","D",39,"A","2515",3.18,13,9.6,5.3,39.9610585536622
"318","D",39,"B","1838",3.47,6.4,5,4.7,18.45685683984
"319","D",40,"A","2261",3,14.2,9.3,8.4,61.3553045246087
"320","D",40,"B","2414",NA,NA,NA,NA,NA
"321","D",41,"A","2455",1.69,7.7,3.5,2.6,7.14712328691678
"322","D",41,"B","1940",2.15,8.9,5.5,4.9,21.1664805035612
"323","D",42,"A","2324",2.81,5.1,4.3,2.8,9.45619388730528
"324","D",42,"B","1985",2.98,4.3,5,4.1,16.1006623496477
"325","D",43,"A","895",1.19,NA,NA,NA,NA
"326","D",43,"B","1804",3.28,7.8,7,4.9,26.9391570045325
"327","D",44,"A","2207",2.07,5.5,6.7,5,26.3108384738145
"328","D",44,"B","2596",1.8,4,2.7,2.2,4.66526509058084
"329","D",45,"A","2241",2.81,11.8,4.5,4.1,14.4905961146829
"330","D",45,"B","398",2.35,38.7,NA,NA,NA
"331","D",46,"A","2583",1.94,2.3,6.1,4.1,19.6428080665702
"332","D",46,"B","2238",1.21,NA,NA,NA,NA
"333","D",47,"A","buffer",NA,NA,NA,NA,NA
"334","D",47,"B","1403",3.33,NA,NA,NA,NA
"335","D",48,"A","2490",1.82,8.4,4.8,4.5,16.9646003293849
"336","D",48,"B","1702",3.3,3.1,6.6,4.1,21.2528743015349
"337","D",49,"A","2525",2.13,9.7,7.3,5.9,33.8270988975281
"338","D",49,"B","1707",2.38,28.1,5.9,3.6,16.6818569905618
"339","D",50,"A","buffer",NA,NA,NA,NA,NA
"340","D",50,"B","2625",1.49,3.6,3,3,7.06858347057703
"341","D",51,"A","buffer",NA,NA,NA,NA,NA
"342","D",51,"B","1988",NA,NA,NA,NA,NA
"343","D",52,"A","522",1.56,NA,NA,NA,NA
"344","D",52,"B","2463",2.53,6.6,4.4,2.4,8.29380460547705
"345","D",53,"A","2395",NA,NA,NA,NA,NA
"346","D",53,"B","2212",3.26,13.2,6.2,5.7,27.7559710944658
"347","D",54,"A","1876",3.1,6.8,5.7,5.4,24.1745554693735
"348","D",54,"B","1849",2.57,8.1,5.3,4.3,17.8992241438278
"349","D",55,"A","2573",2.61,8.4,4.3,3.8,12.8334059899143
"350","D",55,"B","2425",1.59,6.1,1.7,1.2,1.60221225333079
"351","D",56,"A","2544",NA,NA,NA,NA,NA
"352","D",56,"B","2492",1.69,4.7,4.2,3.7,12.2050874591963
