bed,row,col,unique.ID,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
C,39,C,640,82.1,3.8,N,
C,39,D,1291,51.2,1.9,N,Almost no leaves
C,40,C,117,15,1.5,N,
C,40,D,827,18.2,4.4,Y,
C,41,C,305,,,,
C,41,D,680,NA,NA,NA,Gone
C,42,C,533,5.9,2.3,N,
C,42,D,1265,31.9,3.2,N,
C,43,C,1081,5.6,2.8,N,
C,43,D,699,61.5,4.2,Y,
C,44,C,1279,65.5,NA,NA,No leaves
C,44,D,394,35.1,2.8,N,
C,45,C,201,76.5,5.5,N,
C,45,D,buffer,,,,
C,46,C,buffer,,,,
C,46,D,buffer,,,,
