bed ,row ,col ,unique.ID ,phen ,diam.mm ,num.flw ,num.fruit ,long.fruit.cm ,total.branch ,overhd.diam ,overhd.perp ,survey.date ,collected.date ,survey.notes
C ,21,D ,1186,,,,,,,,,,,6/25/24 wilting 
C ,22,C ,88,,,,,,,,,,,6/18/24 wilting 
C ,22,D ,737,V ,1.8,0,0,NA ,1,4.6,3.9,10/23/24,,h= 9.6
C ,23,C ,170,,,,,,,,,,,6/25/24 wilting 
C ,23,D ,TM2_4_12 ,P ,3.3,0,19,4.5,1,,,8/20/24,8/27/24,8/20 tape 
C ,24,C ,1243,,,,,,,,,,,7/9 wilted 
C ,24,D ,99,,,,,,,,,,,
C ,25,C ,364,,,,,,,,,,,
C ,25,D ,1108,,,,,,,,,,,7/2 wilting 
C ,28,C ,251,X,1.64,0,0,NA ,1,2.5,1.7,10/16/24,NA ,
C ,28,D ,265,V ,2.21,0,0,NA ,1,4.4,3.7,10/23/24,,h= 12.5 
C ,29,C ,711,V ,1.63,0,0,NA ,1,4,2.6,10/23/24,,h= 5.8 
C ,29,D ,393,,,,,,,,,,,7/9 wilted 
C ,30,C ,BH_4_7 ,P ,3.01,0,11,3.5,1,,,9/3/24,,8/20 tape 
C ,30,D ,961,,,,,,,,,,,
C ,31,C ,974,,,,,,,,,,,
C ,31,D ,853,,,,,,,,,,,6/25/24 gone 
C ,32,C ,859,,,,,,,,,,,
C ,32,D ,TM2_7_12 ,,,,,,,,,,,TM2 Fruiting from 2023 
C ,33,C ,TM2_2_5 ,,,,,,,,,,,TM2 Fruiting from 2023 
C ,33,D ,832,,,,,,,,,,,
C ,34,C ,564,,,,,,,,,,,
C ,34,D ,990,,,,,,,,,,,wilted 7/16/24 
C ,35,C ,NA ,,,,,,,,,,,
C ,35,D ,NA ,,,,,,,,,,,
C ,36,C ,NA ,,,,,,,,,,,
C ,36,D ,214,,,,,,,,,,,6/25/24 roots exposed 
C ,37,C ,CC_2_7 ,P ,4.67,0,43,5,1,,,8/27/24,9/17/24,8/20 tape 
C ,37,D ,714,V ,1.35,0,0,NA ,1,3.6,2.7,10/23/24,,h= 5.1 
C ,38,C ,YO7_1_3 ,P ,1.27,0,3,2.8,1,2,1.3,7/23/24,8/6/24,2 vegetative branches 
C ,38,D ,539,V ,1.38,0,0,NA ,1,3.8,3.6,10/23/24,,h= 6.1 
C ,39,C ,282,,,,,,,,,,,
C ,39,D ,1098,,,,,,,,,,,
C ,40,C ,489,,,,,,,,,,,7/16/24 wilted 
C ,40,D ,126,,,,,,,,,,,
C ,41,C ,266,,,,,,,,,,,
C ,41,D ,989,,,,,,,,,,,
C ,42,C ,174,,,,,,,,,,,
C ,42,D ,553,,,,,,,,,,,6/18/24 Top Missing 
C ,43,C ,1156,V ,1.51,0,0,NA ,1,1.5,1.4,10/23/24,,h= 6.4 
C ,43,D ,1048,V ,1.19,0,0,NA ,1,3.9,3.8,10/23/24,,h= 9.2 
C ,44,C ,1252,V ,1.32,0,0,NA ,1,3,1.2,10/23/24,,h= 4.5 
C ,44,D ,1085,V ,1.25,0,0,NA ,1,3.7,2.6,10/23/24,,h= 6.4 
C ,45,C ,NA ,,,,,,,,,,,
C ,45,D ,394,V ,1.48,0,0,NA ,1,4.9,1,10/23/24,,h= 3.9 
C ,46,C ,528,,,,,,,,,,,6/18/24 Plant Sunk 
C ,46,D ,429,,,,,,,,,,,6/18/24 Plant sunk wilting / 6/25/24 gone 
C ,47,C ,3,,,,,,,,,,,
C ,47,D ,1399,V ,1.17,0,0,NA ,1,2.4,1.1,10/23/24,,h= 3.8 
C ,48,C ,89,V ,1.44,0,0,NA ,1,3,1.9,10/23/24,,h=3.0 
C ,48,D ,946,,,,,,,,,,,6/25/24 wilting 
C ,49,C ,37,,,,,,,,,,,
C ,49,D ,518,,,,,,,,,,,
C ,50,C ,NA ,,,,,,,,,,,
C ,50,D ,NA ,,,,,,,,,,,
C ,51,C ,NA ,,,,,,,,,,,
C ,51,D ,754,,,,,,,,,,,7/9 wilted 
C ,52,C ,1062,,,,,,,,,,,7/2 wilting 
C ,52,D ,TM2_7_13 ,,,,,,,,,,,TM2 Fruiting from 2023 / 1 seedling / last year's notes say 
C ,53,C ,4,,,,,,,,,,,6/25/24 wilted 
C ,53,D ,1188,,,,,,,,,,,
C ,54,C ,885,,,,,,,,,,,
C ,54,D ,526,,,,,,,,,,,
C ,55,C ,202,,,,,,,,,,,6/25/24 wilted 
C ,55,D ,321,,,,,,,,,,,
C ,56,C ,842,,,,,,,,,,,
C ,56,D ,376,,,,,,,,,,,
C ,57,C ,957,,,,,,,,,,,6/25/24 wilted 
C ,57,D ,1148,,,,,,,,,,,6/25/24 wilted 
C ,58,C ,21,,,,,,,,,,,
C ,58,D ,176,,,,,,,,,,,6/25/24 very wilted 
C ,59,C ,buffer ,,,,,,,,,,,
C ,59,D ,buffer ,,,,,,,,,,,
C ,60,C ,buffer ,,,,,,,,,,,
C ,60,D ,buffer ,,,,,,,,,,,
D ,1,A ,buffer ,,,,,,,,,,,
D ,1,B ,buffer ,,,,,,,,,,,
D ,2,A ,buffer ,,,,,,,,,,,
D ,2,B ,buffer ,,,,,,,,,,,
D ,3,A ,buffer ,,,,,,,,,,,
D ,3,B ,IH_5_9 ,F,3.06,2,0,NA ,1,9.5,3,10/23/24,,mistakenly coded as buffer before 7/23 height : 20.2
D ,4,A ,724,,,,,,,,,,,6/25/24 very wilted 
D ,4,B ,906,,,,,,,,,,,6/25/24 wilting 
D ,5,A ,1230,,,,,,,,,,,6/25/24 wilting 
D ,6,B ,90,,,,,,,,,,,6/25/24 wilting 
D ,8,A ,101,,,,,,,,,,,7/2 wilting 
D ,9,A ,1350,,,,,,,,,,,6/25/24 wilted 
D ,9,B ,937,,,,,,,,,,,
D ,10,A ,283,,,,,,,,,,,7/9/24 wilted 
D ,10,B ,436,V ,2.07,0,0,NA ,1,5.2,4.7,10/23/24,,height: 8.7 
D ,11,A ,113,,,,,,,,,,,
D ,11,B ,546,,,,,,,,,,,6/25/24 wilted 
D ,12,A ,NA ,,,,,,,,,,,
D ,12,B ,NA ,,,,,,,,,,,
D ,13,A ,NA ,,,,,,,,,,,
D ,13,B ,304,V ,2.03,0,0,NA ,1,5.4,5,10/23/24,,height: 5.5
D ,14,A ,IH_7_9 ,,,,,,,,,,,
D ,14,B ,5,,,,,,,,,,,6/25/24 wilted 
D ,15,A ,119,,,,,,,,,,,
D ,15,B ,91,,,,,,,,,,,
